Day/Hour,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0,0,0,0,0,0,0,0.010082076,0.03286206,0.054763039,0.115530845,0.183902568,0.151252317,0.106179508,0.056192746,0.022557585,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0.009372518,0.028339952,0.066126555,0.087010855,0.088091078,0.072385491,0.029610802,0.01986762,0.008281705,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0.062091607,0.075181361,0.193794016,0.19286206,0.305088695,0.260916071,0.151305269,0.099994705,0.043547789,0.001419116,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0.001546201,0.196907599,0.392501986,0.496870532,0.645782367,0.714312947,0.699232195,0.395943871,0.363473656,0.179645221,0.004479746,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0.000709558,0.067948107,0.178226105,0.34471803,0.448641779,0.519004501,0.506348954,0.39490601,0.220248875,0.104654488,0.011342335,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0.009086577,0.063478952,0.166904951,0.260852528,0.327487424,0.418575589,0.380153561,0.389536669,0.195255494,0.023500132,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0.003219486,0.281493249,0.52739211,0.690992851,0.753232724,0.8124861,0.756240402,0.552470214,0.362880593,0.17707175,0.01249669,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0.0058565,0.014911305,0.043463066,0.033688112,0.031485306,0.044373842,0.017855441,0.005485835,0.001715647,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0.007921631,0.009054805,0.025702939,0.047762775,0.029864972,0.033359809,0.03056394,0.006047127,0.002700556,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0.008811226,0.023934339,0.094222928,0.166671962,0.174095843,0.202933545,0.184845115,0.113020916,0.055705586,0.0050834,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0.003102992,0.247815727,0.571088165,0.653132115,0.802414615,0.775356103,0.760275351,0.361472068,0.23185597,0.136002118,0.015832671,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0.003177125,0.258702674,0.499962934,0.682223987,0.802054541,0.795382579,0.750235637,0.503574265,0.409616097,0.194747154,0.023722531,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0.036960551,0.158856235,0.331734181,0.218300238,0.142123378,0.143203601,0.028445856,0.013269791,0.004109081,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0.005411702,0.026804342,0.017866031,0.037670109,0.034450622,0.01374636,0.015917395,0.008186391,0.003081811,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0.003791369,0.032449034,0.042329891,0.09707175,0.064368546,0.067386815,0.044702145,0.024082605,0.013322743,0.001609743,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0.002615833,0.216605772,0.502716442,0.626793752,0.774678316,0.689298385,0.569489012,0.324289118,0.196844056,0.052697908,0.004553879,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0.000688377,0.037034684,0.141540905,0.097262378,0.116992322,0.085771777,0.098459095,0.069970876,0.053894625,0.04916071,0.005898862,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0.00355838,0.281916865,0.543923749,0.754980143,0.798199629,0.80967964,0.782472862,0.601630924,0.51033095,0.265575854,0.041503839,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0.002361663,0.182239873,0.334646545,0.486703733,0.586804342,0.592406672,0.508985968,0.205326979,0.193296267,0.078019592,0.007932221,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0.023553084,0.039396346,0.109536669,0.168461742,0.128313476,0.077002912,0.074747154,0.046502515,0.011956579,0.00024358,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0.009499603,0.023245962,0.025088695,0.064665078,0.065840614,0.056637543,0.013132115,0.014371194,0.006386021,0.001249669,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0.003113582,0.009923219,0.02240932,0.031993646,0.021742123,0.032300768,0.0191157,0.012867355,0.006460154,0,0,0,0,0,0,0,0
