Day/Hour,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
35,0,0,0,0,0,0,0,0.003191171,0.315193906,0.556237143,0.728863433,0.8403441,0.864685235,0.81200677,0.675493014,0.464159388,0.234627987,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0.003800113,0.334847114,0.573701584,0.752793432,0.878051086,0.90642887,0.840193515,0.682022805,0.47895241,0.231298247,0.000517285,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0.002683264,0.243021995,0.395687003,0.485700186,0.529525029,0.572105239,0.38566409,0.183215549,0.140587329,0.072489314,0.000118204,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0.104210505,0.352987447,0.592307268,0.772383299,0.881957335,0.907573401,0.843296996,0.702136417,0.494419554,0.242779479,0.016454844,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0.10520588,0.351456829,0.586407447,0.76482057,0.874878411,0.904324419,0.84446192,0.702057661,0.493910499,0.246714842,0.018514168,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0.00139345,0.1540452,0.335046075,0.371200654,0.614088679,0.51914982,0.537112251,0.540667702,0.245896694,0.135489153,0.000515163,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0.109557646,0.354992232,0.588163537,0.766378219,0.875994463,0.899705304,0.84199445,0.705149782,0.496826271,0.24906082,0.022254477,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0.002886416,0.276530478,0.471806848,0.552256962,0.610959257,0.739365882,0.611149678,0.481625708,0.401328977,0.185422182,0.000755711,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0.117571069,0.369562337,0.605653018,0.791918014,0.90330162,0.932688081,0.872394091,0.727740624,0.515051921,0.261364888,0.027374569,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0.074105285,0.288409891,0.535547884,0.645225731,0.818958672,0.875859239,0.824747714,0.716174717,0.500223486,0.254243256,0.001140799,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0.046047377,0.164210823,0.305667377,0.346911391,0.277025978,0.258719801,0.451062636,0.271644584,0.212995841,0.092217931,0.015308285,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0.048595691,0.114498078,0.233220271,0.317131713,0.31178809,0.293337034,0.266856213,0.307354694,0.300529511,0.12617141,0.00061768,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0.094157786,0.255667601,0.482561369,0.616584337,0.615489904,0.603963559,0.720959931,0.495917246,0.278488429,0.169497912,0.022930473,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0.129745965,0.382941039,0.624022322,0.806031791,0.919262804,0.94155283,0.882874924,0.736801646,0.524455835,0.270657577,0.03866957,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0.005075239,0.013325051,0.040425917,0.072960891,0.068758844,0.043351626,0.024167643,0.02535099,0.039191639,0.03698971,0.007651295,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0.131570917,0.379780909,0.614373,0.793053907,0.903268119,0.924805514,0.866192075,0.722860141,0.515182545,0.269787505,0.042301048,0,0,0,0,0,0
